date,equity_compound,drawdownPct_compound,dailyReturnPct
2026-02-02,121.9425,0,3.41
2026-02-03,121.3263,-0.51,-0.505
2026-02-04,118.5888,-2.75,-2.256
2026-02-05,116.3012,-4.63,-1.929
2026-02-06,112.3906,-7.83,-3.362
2026-02-09,108.0838,-11.36,-3.832
2026-02-10,101.9345,-16.41,-5.689
2026-02-11,97.4552,-20.08,-4.394
2026-02-12,94.1461,-22.79,-3.395
2026-02-13,92.4054,-24.22,-1.849
2026-02-16,88.9082,-27.09,-3.785
2026-02-17,86.1474,-29.35,-3.105
2026-02-18,82.676,-32.2,-4.03
2026-02-19,78.7917,-35.39,-4.698
2026-02-20,74.9782,-38.51,-4.84
2026-02-23,71.505,-41.36,-4.632
2026-02-24,68.3712,-43.93,-4.383
2026-02-25,65.7903,-46.05,-3.775
2026-02-26,63.0361,-48.31,-4.186
2026-02-27,60.3057,-50.55,-4.331
2026-03-04,56.1803,-53.93,-6.841
2026-03-05,52.1624,-57.22,-7.152
2026-03-06,49.3428,-59.54,-5.405
2026-03-09,47.5199,-61.03,-3.694
2026-03-10,44.2529,-63.71,-6.875
2026-03-11,41.6498,-65.84,-5.882
2026-03-12,38.474,-68.45,-7.625
2026-03-13,37.1201,-69.56,-3.519
2026-03-16,35.42,-70.95,-4.58
2026-03-17,33.1923,-72.78,-6.289
2026-03-18,31.5053,-74.16,-5.083
2026-03-19,30.3844,-75.08,-3.558
2026-03-20,31.1206,-74.48,2.423
2026-03-24,30.5255,-74.97,-1.912
2026-03-25,30.1734,-75.26,-1.154
2026-03-26,29.9744,-75.42,-0.66
