date,equity_compound,drawdownPct_compound,dailyReturnPct
2025-02-04,6.5962,0,3.378
2025-02-27,6.0869,-7.72,-7.72
2025-02-28,5.5837,-15.35,-8.267
2025-03-03,5.2163,-20.92,-6.58
2025-03-04,4.8084,-27.1,-7.82
2025-03-05,4.4091,-33.16,-8.303
2025-03-06,3.7936,-42.49,-13.96
2025-03-07,3.4331,-47.95,-9.504
2025-03-10,3.0798,-53.31,-10.29
2025-03-11,2.9881,-54.7,-2.978
2025-03-12,2.8256,-57.16,-5.437
2025-03-13,2.6719,-59.49,-5.439
2025-03-14,2.5185,-61.82,-5.742
2025-03-17,2.4451,-62.93,-2.916
2025-03-18,2.2623,-65.7,-7.473
2025-03-19,2.1989,-66.66,-2.806
2025-03-20,2.1092,-68.02,-4.08
2025-03-21,2.0339,-69.17,-3.569
2025-03-24,2.0033,-69.63,-1.501
2025-03-25,1.9618,-70.26,-2.072
2025-03-26,1.9198,-70.9,-2.142
