date,equity_compound,drawdownPct_compound,dailyReturnPct
2025-01-16,1.865,0,1.453
2025-02-27,1.705,-8.58,-8.579
2025-02-28,1.5196,-18.52,-10.875
2025-03-03,1.4196,-23.88,-6.58
2025-03-04,1.3428,-28,-5.41
2025-03-05,1.2523,-32.85,-6.739
2025-03-06,1.0942,-41.33,-12.622
2025-03-07,0.9886,-46.99,-9.652
2025-03-10,0.8944,-52.05,-9.536
2025-03-11,0.8715,-53.27,-2.559
2025-03-12,0.8241,-55.81,-5.437
2025-03-13,0.7793,-58.22,-5.439
2025-03-14,0.7345,-60.62,-5.742
2025-03-17,0.7033,-62.29,-4.25
2025-03-18,0.6528,-65,-7.178
2025-03-19,0.6275,-66.35,-3.874
2025-03-20,0.5931,-68.2,-5.484
2025-03-21,0.5642,-69.75,-4.881
2025-03-24,0.5557,-70.2,-1.501
2025-03-25,0.5453,-70.76,-1.878
2025-03-26,0.5302,-71.57,-2.767
2025-03-27,0.5265,-71.77,-0.697
2025-03-28,0.5226,-71.98,-0.744
2025-03-31,0.518,-72.23,-0.88
