date,equity_compound,drawdownPct_compound,dailyReturnPct
2025-01-17,1.4418,0,0.574
2025-02-27,1.3181,-8.58,-8.579
2025-02-28,1.1747,-18.52,-10.875
2025-03-03,1.0821,-24.95,-7.886
2025-03-04,1.0012,-30.56,-7.479
2025-03-05,0.9278,-35.65,-7.332
2025-03-06,0.812,-43.68,-12.48
2025-03-07,0.7407,-48.62,-8.776
2025-03-10,0.6712,-53.45,-9.39
2025-03-11,0.6554,-54.54,-2.355
2025-03-12,0.6234,-56.76,-4.883
2025-03-13,0.5928,-58.88,-4.898
2025-03-14,0.5588,-61.24,-5.734
2025-03-17,0.5407,-62.5,-3.251
2025-03-18,0.5019,-65.19,-7.178
2025-03-19,0.4805,-66.67,-4.256
2025-03-20,0.451,-68.72,-6.129
2025-03-21,0.4265,-70.42,-5.444
2025-03-24,0.404,-71.98,-5.273
2025-03-25,0.3911,-72.87,-3.189
2025-03-26,0.3804,-73.61,-2.732
2025-03-27,0.3762,-73.91,-1.123
2025-03-28,0.3733,-74.11,-0.758
2025-03-31,0.3677,-74.49,-1.491
2025-04-01,0.3638,-74.77,-1.081
