date,equity_compound,drawdownPct_compound,dailyReturnPct
2026-02-02,45.026,0,0.867
2026-02-03,44.8286,-0.44,-0.438
2026-02-04,44.1844,-1.87,-1.437
2026-02-05,43.3223,-3.78,-1.951
2026-02-06,42.0799,-6.54,-2.868
2026-02-09,40.7241,-9.55,-3.222
2026-02-10,38.7357,-13.97,-4.883
2026-02-11,37.211,-17.36,-3.936
2026-02-12,36.0731,-19.88,-3.058
2026-02-13,35.2755,-21.66,-2.211
2026-02-16,33.951,-24.6,-3.755
2026-02-17,32.5724,-27.66,-4.06
2026-02-18,31.268,-30.56,-4.005
2026-02-19,29.682,-34.08,-5.072
2026-02-20,28.291,-37.17,-4.686
2026-02-23,26.9496,-40.15,-4.742
2026-02-24,25.7127,-42.89,-4.59
2026-02-25,24.4569,-45.68,-4.884
2026-02-26,22.9275,-49.08,-6.253
2026-02-27,21.5107,-52.23,-6.18
2026-03-02,20.6792,-54.07,-3.865
2026-03-03,19.7428,-56.15,-4.528
2026-03-04,18.3922,-59.15,-6.841
2026-03-05,17.0769,-62.07,-7.152
2026-03-06,16.1538,-64.12,-5.405
2026-03-09,15.557,-65.45,-3.694
2026-03-10,14.4875,-67.82,-6.875
2026-03-11,13.6353,-69.72,-5.882
2026-03-12,12.5956,-72.03,-7.625
2026-03-13,12.1919,-72.92,-3.205
2026-03-16,11.6335,-74.16,-4.58
2026-03-17,10.9018,-75.79,-6.289
2026-03-18,10.3477,-77.02,-5.083
2026-03-19,9.9796,-77.84,-3.558
2026-03-20,9.9413,-77.92,-0.383
2026-03-24,9.7523,-78.34,-1.901
2026-03-25,9.7149,-78.42,-0.384
