date,equity_compound,drawdownPct_compound,dailyReturnPct
2025-02-07,2.7638,0,0.217
2025-02-10,2.7212,-1.54,-1.543
2025-02-11,2.6858,-2.82,-1.302
2025-02-12,2.6655,-3.56,-0.754
2025-02-24,2.5808,-6.62,-3.179
2025-02-25,2.4259,-12.23,-6.001
2025-02-26,2.2795,-17.53,-6.036
2025-02-27,2.1325,-22.84,-6.445
2025-02-28,2.0071,-27.38,-5.882
2025-03-03,1.875,-32.16,-6.58
2025-03-04,1.7736,-35.83,-5.41
2025-03-05,1.6541,-40.15,-6.739
2025-03-06,1.4453,-47.71,-12.622
2025-03-07,1.3058,-52.75,-9.652
2025-03-10,1.1725,-57.58,-10.204
2025-03-11,1.1376,-58.84,-2.978
2025-03-12,1.0758,-61.08,-5.437
2025-03-13,1.0172,-63.19,-5.439
2025-03-14,0.9588,-65.31,-5.742
2025-03-17,0.9168,-66.83,-4.385
2025-03-18,0.8468,-69.36,-7.634
2025-03-19,0.8422,-69.53,-0.541
2025-03-20,0.8266,-70.09,-1.86
2025-03-21,0.8138,-70.55,-1.539
2025-03-24,0.8019,-70.99,-1.464
2025-03-25,0.7869,-71.53,-1.878
2025-03-26,0.7588,-72.55,-3.571
2025-04-01,0.7506,-72.84,-1.072
