date,equity_compound,drawdownPct_compound,dailyReturnPct
2025-02-03,7.2287,0,5.227
2025-02-28,6.4426,-10.88,-10.875
2025-03-03,5.8954,-18.44,-8.493
2025-03-04,5.4344,-24.82,-7.82
2025-03-05,4.9284,-31.82,-9.311
2025-03-06,4.2404,-41.34,-13.96
2025-03-07,3.8374,-46.91,-9.504
2025-03-10,3.4425,-52.38,-10.29
2025-03-11,3.3452,-53.72,-2.829
2025-03-12,3.1818,-55.98,-4.883
2025-03-13,3.0087,-58.38,-5.439
2025-03-14,2.8362,-60.76,-5.734
2025-03-17,2.757,-61.86,-2.794
2025-03-18,2.5509,-64.71,-7.473
2025-03-19,2.4373,-66.28,-4.455
2025-03-20,2.3,-68.18,-5.632
2025-03-21,2.1813,-69.82,-5.162
2025-03-24,2.1494,-70.27,-1.464
2025-03-25,2.109,-70.82,-1.878
2025-03-26,2.0506,-71.63,-2.767
